,ID,has_eth_conflict_raw,unusual_insult,historical_reference,call_for_reconciliation,neutral_sentiment,negative_text_without_ethnic_conflict,sarcasm,contrast,migrantophobia,secondary_topic,correct,model_1,model_2,model_3,model
0,723655047,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,836240436,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2,700392,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
3,978041908,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4,869226189,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
5,845301395,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
6,870697936,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
7,884643131,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
8,955029964,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
9,945583957,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
10,730443002,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
11,698696463,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
12,1063014428,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
13,699033937,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
14,343129304,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
15,881539938,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
16,627599208,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
17,834780453,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
18,592598627,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
19,3651706,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
20,836200490,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
21,751297441,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
22,375698243,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
23,856975015,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
24,747198580,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
25,713455192,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
26,447315824,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
27,3357894,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
28,1072418240,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
29,731979815,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
30,776810790,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
31,347745,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
32,1005710797,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
33,809680181,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
34,875315859,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
35,802217951,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
36,1432627,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
37,4108700,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
38,723012980,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
39,885099747,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
40,874302366,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
41,910339597,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
42,767614094,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
43,870363171,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
44,891295621,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
45,971569168,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
46,697962876,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
47,1010637170,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
48,765160389,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
49,1585926,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
50,1034675572,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
51,766643334,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
52,887750409,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
53,428669450,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
54,822395003,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
55,710841214,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
56,709854694,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
57,969272139,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
58,781877893,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
59,1012434555,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
60,859645299,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
61,927172975,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
62,793421766,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
63,328218962,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
64,389804315,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
65,865781239,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
66,951058890,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
67,634107128,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
68,841120818,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
69,857682600,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
70,890218335,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
71,677505281,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
72,710860952,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
73,435327635,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
74,942043579,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
75,1013639648,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
76,409081803,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
77,864867906,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
78,2086919,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
79,893760058,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
80,799438239,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
81,1047587593,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
82,1015016592,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
83,813699781,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
84,1517909,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
85,732049185,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
86,690842804,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1
87,931264970,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
88,882998349,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
89,928119853,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
90,498668646,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
91,1001397826,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
92,782635024,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
93,901469749,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
94,1030101305,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
95,722440404,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
96,852046027,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
97,1006183872,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
98,609081,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
99,1537209,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
100,789464711,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
101,872280190,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
102,387120948,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
103,466003778,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
104,921682666,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
105,854833280,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
106,921949401,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
107,851688239,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
108,731734470,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
109,979798304,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
110,706597789,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
111,1015831079,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
112,1011418622,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
113,1773414,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
114,501850657,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
115,516305151,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
116,444434264,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
117,642496496,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
118,1287751,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
119,829691851,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
120,1061536902,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
121,985602108,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
122,1028475452,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
123,884767564,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
124,802446107,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
125,937318756,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
126,705723539,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
127,938073135,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
128,723953778,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
129,850562142,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
130,834697914,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
131,827965246,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
132,754660756,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
133,940485586,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
134,1001854546,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
135,777550946,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
136,860565302,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
137,820512840,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
138,988983,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
139,866164991,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
140,1066081982,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
141,728613681,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
142,332023939,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
143,585561123,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
144,867149319,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
145,775588146,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
146,595865252,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
147,913834637,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
148,889396691,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
149,889913519,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
150,868997937,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
151,371606672,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
152,916434978,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
153,795258658,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
154,381898226,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
155,911356305,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
156,5167290,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
157,765660864,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
158,789654989,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
159,866817254,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
160,818474438,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
161,992177053,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
162,740250804,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
163,890082153,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
164,775514651,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
165,981915027,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
166,843050268,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
167,732416319,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
168,853409421,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
169,840827243,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
170,824943777,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
171,927182545,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
172,869687670,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
173,407302820,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
174,380613452,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
175,1074400223,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
176,691415820,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
177,875091167,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
178,557206270,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
179,704492589,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
180,845009744,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
181,642912869,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
182,449226368,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
183,805361997,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
184,1025456689,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
185,441776259,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
186,828757320,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
187,884601229,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
188,786618242,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
189,925980102,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
190,893325548,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
191,3608155,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
192,1112072096,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1
193,860905357,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
194,804739264,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
195,875647923,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
196,352854289,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
197,767704132,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
198,730459844,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
199,765454521,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
200,772389369,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
201,1241181,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
202,779893147,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
203,865482980,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
204,765499052,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
205,844626153,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
206,1008701912,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
207,860407240,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
208,746911559,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
209,924637265,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
210,730315707,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
211,791942898,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
212,855518728,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
213,488899266,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
214,358620921,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
215,990802403,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
216,851782425,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
217,979933923,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
218,709158508,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
219,549533600,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
220,851279353,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
221,845397185,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
222,480016867,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
223,757791852,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
224,377671034,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
225,469169261,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
226,713380905,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
227,877933472,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
228,332082301,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
229,894429402,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
230,928647675,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
231,856357814,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
232,940248858,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
233,540714601,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
234,1050116075,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
235,749160305,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
236,785392489,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
237,890718854,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
238,756799178,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
239,699241435,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
240,691397810,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
241,882829943,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
242,917145696,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
243,569700731,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
244,715596114,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
245,703390748,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
246,858080768,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
247,370994597,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
248,776836203,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
249,804069790,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
250,669118847,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
251,1911307,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
252,712187510,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
253,791759872,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
254,399957758,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
255,890342936,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
256,725782675,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
257,479908975,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
258,377759369,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
259,903425985,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
260,911840676,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
261,107304,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
262,376243188,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1
263,971501903,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
264,722436412,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
265,462010358,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
266,1077671757,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
267,1067418447,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
268,365502488,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
269,1052025212,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
270,4969198,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
271,909048705,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
272,621691315,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
273,805650848,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
274,624620671,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
275,939603012,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
276,1058705679,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
277,910286779,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
278,775811103,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
279,712268173,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
280,471674941,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
281,874991595,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
282,497977751,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
283,997088361,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1
284,865574928,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
285,766367774,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
286,549563937,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
287,874260345,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
288,847851996,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
289,602552459,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
290,754229758,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
291,822647330,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
292,733522943,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
293,780796868,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
294,768440225,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
295,1000000333,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
296,1066752146,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1
297,2794705,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
298,235462,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
299,920207944,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
300,778668066,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
301,815971586,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
302,748812920,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
303,842473598,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
304,536797085,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
305,907908014,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
306,819827851,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
307,986640830,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
308,879096769,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
309,893078757,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
310,763927977,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
311,803843155,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
312,992540581,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
313,1007164842,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
314,469208977,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
315,558521956,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
316,1077738835,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
317,481809692,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
318,881305854,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
319,698769212,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
320,933794918,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
321,718631973,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
322,1063730952,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
323,777730979,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
324,1013216023,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
325,386068934,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
326,756154145,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
327,1009420093,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
328,645782387,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
329,623712373,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
330,672243172,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
331,814474295,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
332,1078371122,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
333,782908839,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1
334,518397839,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
335,923126137,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
336,1057741694,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
337,1077035339,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
338,795184664,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
339,885615913,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
340,810449713,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
341,727366288,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
342,466816803,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
343,843523299,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
344,2245425,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
345,345913067,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
